query,response
What is Holman Feet-Elevated Inchworm Pike to Straight Plank Push-Up for abdominals?,
What is Holman Feet-Elevated Up-Down Elbow Plank for abdominals?,
What is Holman Feet-Elevated Plank Pike Pull for abdominals?,
What is Holman Feet-Elevated Alternating Single-Leg Hip Raise for abdominals?,
What is Holman Feet-Elevated Plank Pike Pull to Push-Up for abdominals?,
What is Holman Standing Heel Click for abdominals?,
What is Holman Straight Plank Right-Left Jack to Split Jack for abdominals?,
What is Holman Elbow Plank Jack to Ninja Knees for abdominals?,
What is Holman Right Side Elbow Plank with Left Leg Swing for abdominals?,
What is Holman Left Side Elbow Plank with Right Leg Swing for abdominals?,
What is Holman Straight Plank with Alternating Diagonal Sit-Back for abdominals?,
What is Holman Boat Press with Leg Extension for abdominals?,
What is Holman Shoulder Tap to Dirty Dog for abdominals?,
What is Holman Standing Russian Twist for abdominals?,
What is Holman Hovering Plank with Shoulder Tap for abdominals?,
What is Holman Elbow Plank to Stacked Plank Hip Drop for abdominals?,
What is Holman Elbow Plank to Walk-Up Pike for abdominals?,
What is Holman Hill Climber for abdominals?,
What is Holman Straight Plank Pike to Renegade Row for abdominals?,
What is Holman Alternating Hip Drop to Push-Up for abdominals?,
What is Holman Crab Kick for abdominals?,
What is Holman Wounded Bear Crawl for abdominals?,
What is Holman Alternating Crab Reach for abdominals?,
What is Holman Hovering Panther Core Stabilizer for abdominals?,
What is Holman Burpee to Forward Lunge for abdominals?,
What is Holman Seated Knee Pull-In Series for abdominals?,
What is Holman Elbow Plank Pike for abdominals?,
What is Holman Elbow Plank Jack to Straight Plank Split Jack for abdominals?,
What is Holman Boat Pull-Over for abdominals?,
What is Holman Squat Pulse to Plyometric Jump for abdominals?,
What is Holman Hands Down Heel Click for abdominals?,
What is Holman Straight Plank to Kick-Up for abdominals?,
What is Holman Hands-Elevated Split Jack for abdominals?,
What is Holman Feet-Elevated Plank Reach for abdominals?,
What is Holman Hand-Elevated Side Plank Semicircle for abdominals?,
What is Holman Hands-Elevated Straight Plank Pike for abdominals?,
What is Holman Alternating Rolling Elbow Plank for abdominals?,
What is Holman Elbow Plank Jack for abdominals?,
What is Holman Squat Thrust to Alternating Knee-In for abdominals?,
What is Holman Supine Double Pike for abdominals?,
What is Holman Elbow Plank Alternating Pike for abdominals?,
What is Holman Seated Killer Abs for abdominals?,
What is Holman Side Plank Hip Drop for abdominals?,
What is Holman Wide Hill Climber for abdominals?,
What is Holman Straight-Legged Bicycle for abdominals?,
What is Holman Stair Toe Tap for abdominals?,
What is Holman Elbow Plank Ninja for abdominals?,
What is Holman Traveling Stair Climb Push-Up for abdominals?,
What is Holman Hands-Elevated Burpee for abdominals?,
What is Holman Straight Plank Donkey Kick for abdominals?,
What is Holman Feet-Elevated Straight Plank Pike Pull for abdominals?,
What is Holman Towel Burpee for abdominals?,
What is Holman Elbow Plank to Alternating Side Plank Crunch for abdominals?,
What is Holman Straight-Legged Hip Raise for abdominals?,
What is Holman Feet-Elevated Hill Climber for abdominals?,
What is Holman Ninja Knee Hill Climber for abdominals?,
What is Holman Feet-Elevated Shoulder Tap for abdominals?,
What is Holman Feet-Elevated Hip Raise for abdominals?,
What is Holman Left Hand Right Foot Crab Reach for abdominals?,
What is Holman Alternating Crab Flip to Froggy Push-Up to Kicks for abdominals?,
What is Holman Right Hand Left Foot Sleeping Crab for abdominals?,
What is Holman Left Hand Right Foot Sleeping Crab for abdominals?,
What is Holman Straight Plank with Alternating Leg Kick-Under for abdominals?,
What is Holman Right Hip Drop Push-Up for abdominals?,
What is Holman Right Side Diagonal Burpee for abdominals?,
What is Holman Left Hip Drop Push-Up for abdominals?,
What is Holman Right Leg 7-Up Crunch for abdominals?,
What is Holman Left Leg 7-Up Crunch for abdominals?,
What is Holman Straight Plank Jack for abdominals?,
What is Holman Feet-Elevated Couch Hill Climber for abdominals?,
What is Holman Feet-Elevated Right Side Plank for abdominals?,
What is Holman Alternating Up-Down Plank to Push-Up for abdominals?,
What is Holman Straight Plank Pike for abdominals?,
What is Holman Ninja Knee Straight Plank for abdominals?,
What is Holman Reverse Crunch to Hip Raise for abdominals?,
What is Holman Straight Plank Quick Reach for abdominals?,
What is Holman Alternating Diagonal Straight Plank for abdominals?,
What is Holman Feet-Elevated Left Side Plank for abdominals?,
What is Holman Right Hand Left Foot Crab Reach for abdominals?,
What is Holman Low-Impact Crab Kick for abdominals?,
What is Holman Alternating Crab Flip to Froggy Push-Up for abdominals?,
What is Holman High-Impact Crab Kick for abdominals?,
What is Holman Single-Leg Right Pike for abdominals?,
What is Holman Single-Leg Left Pike for abdominals?,
What is Holman Shoulder Tap to Hand Tap for abdominals?,
What is Holman Towel Reverse Plank Jack for abdominals?,
What is Holman Side-to-Side Twist for abdominals?,
What is Holman Crab Kick with Hop for abdominals?,
What is Holman Crab Reach to Crab Kick for abdominals?,
What is Holman Wide Squat Side-to-Side Obliques for abdominals?,
What is Holman Side Plank Crunch for abdominals?,
What is Total Fitness Ab Tuck for abdominals?,"The hollow-body knee tuck is a bodyweight abdominal exercise performed on the floor. It is similar to both the hollow-body hold and the knee tuck or reverse crunch, combining elements of both. It primarily targets the muscles of the rectus abdominis, or “six-pack” muscles. It can be performed for reps or time, either as part of an ab-focused workout or as a component of a circuit workout."
